"","SAMPLE_ID","basic_statistics","per_base_sequence_quality","per_tile_sequence_quality","per_sequence_quality_scores","per_base_sequence_content","per_sequence_gc_content","per_base_n_content","sequence_length_distribution","sequence_duplication_levels","overrepresented_sequences","adapter_content","kmer_content","SeqLength_R1","percentGC_R1","phred20.21_R1","phred48.49_R1","phred76.77_R1","phred100.101_R1","phredGT30_R1","phredGT35_R1","Adapter50.51_R1","Adapter70.71_R1","Adapter90_R1","SeqLength_R2","percentGC_R2","phred20.21_R2","phred48.49_R2","phred76.77_R2","phred100.101_R2","phredGT30_R2","phredGT35_R2","Adapter50.51_R2","Adapter70.71_R2","Adapter90_R2","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","bamFile","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Unmapped","gene_Unassigned_Read_Type","gene_Unassigned_Singleton","gene_Unassigned_MappingQuality","gene_Unassigned_Chimera","gene_Unassigned_FragmentLength","gene_Unassigned_Duplicate","gene_Unassigned_MultiMapping","gene_Unassigned_Secondary","gene_Unassigned_NonSplit","gene_Unassigned_NoFeatures","gene_Unassigned_Overlapping_Length","gene_Unassigned_Ambiguity","rRNA_rate","Adapter88.89_R1","Adapter88.89_R2","ERCCsumLogErr","gene_Unassigned_Nonjunction"
"R22262","R22262","PASS","PASS","FAIL","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","WARN","FAIL/WARN","PASS","NA","101","48","41.0","41.0","39.0","39.0",NA,NA,0.0267058577022911,0.24459834157474,1.70415615615574,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0382513818619729,0.290632930389392,1.93444710648826,FALSE,115248124,101770476,13477648,0.8831,0.8192,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22262_sorted.bam",124153146,2723555,0.0214661555552268,0.309860200747952,23915617,0,0,0,0,0,0,0,32128711,0,0,18438281,0,2699349,1.78962558231301e-05,NA,NA,NA,NA
"R22263","R22263","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","WARN/FAIL","WARN/PASS","PASS","FAIL","FAIL","PASS","NA","101","52","41.0","41.0","39.0","39.0",NA,NA,0.0216529194552893,0.15316113162556,1.05634400865287,"101","54","41.0","41.0","41.0","41.0",NA,NA,0.0319852020611038,0.193947431198964,1.24514620758907,FALSE,124348128,114633862,9714266,0.9219,0.8673,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22263_sorted.bam",185535383,9670294,0.0495389998314444,0.108292244047191,16691413,0,0,0,0,0,0,0,121440124,0,0,14472478,0,1529027,0.000520926538693878,NA,NA,NA,NA
"R22265","R22265","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","WARN","NA","101","51","41.0","41.0","41.0","41.0",NA,NA,0.200325976775845,1.39853590790509,5.76233773441674,"101","52","41.0","41.0","41.0","41.0",NA,NA,0.197783972541597,1.36385165698637,5.5754132924776,FALSE,144610302,118620568,25989734,0.8203,0.7715,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22265_sorted.bam",159887016,3199280,0.019617098913081,0.291816978720759,29060042,0,0,0,0,0,0,0,52133747,0,0,12667171,0,5722149,4.7728767907493e-05,NA,NA,NA,NA
"R22266","R22266","PASS","FAIL/PASS","FAIL","PASS","FAIL/WARN","FAIL","FAIL/PASS","PASS","WARN/FAIL","WARN","PASS","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.0879801534568965,0.788241441094315,4.90192840863715,"101","51","41.0","41.0","41.0","41.0",NA,NA,0.0896878653897311,0.77965489755245,4.83962648458476,FALSE,116705866,103582334,13123532,0.8876,0.843,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22266_sorted.bam",133968142,2755184,0.0201515284963153,0.316497394926932,26443132,0,0,0,0,0,0,0,41032057,0,0,12387515,0,3686584,0.000172634618319797,NA,NA,NA,NA
"R22267","R22267","PASS","PASS","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","WARN","FAIL","WARN","PASS","NA","75-101","51","41.0","41.0","41.0","41.0",NA,NA,3.78879539537725e-05,5.8826033770331e-05,0.0385819017419784,"75-101","51","41.0","41.0","41.0","41.0",NA,NA,7.17877022282005e-05,0.000159528227173779,0.0367931914947925,TRUE,100295730,96924740,3370990,0.9664,0.9512,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22267_sorted.bam",128424190,6083998,0.0452314323050728,0.343226416959825,28497266,0,0,0,0,0,0,0,45515003,0,0,6375789,0,2639543,5.81810198915222e-05,NA,NA,NA,NA
"R22268","R22268","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0867894829920242,0.424339540231766,2.36512315512757,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0920996569391622,0.435029117060464,2.37428497524436,FALSE,127114480,111756259,15358221,0.8792,0.8373,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22268_sorted.bam",134989736,2245055,0.016359226283953,0.389219548773995,30264337,0,0,0,0,0,0,0,27955406,0,0,14706370,0,4830354,1.65210954398241e-05,NA,NA,NA,NA
"R22269","R22269","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0361562966364157,0.18043618050071,1.09307116735765,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0376148502905208,0.178825985986533,1.04170815475338,FALSE,164203764,143025104,21178660,0.871,0.8321,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22269_sorted.bam",170223545,3147245,0.0181532598426759,0.364587447004997,36306186,0,0,0,0,0,0,0,36107014,0,0,22342211,0,4826147,1.13479284218948e-05,NA,NA,NA,NA
"R22270","R22270","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","FAIL/WARN","PASS","NA","101","47","41.0","41.0","39.0","39.0",NA,NA,0.020474185519748,0.15542665135997,1.07517075432527,"101","48","41.0","41.0","39.0","41.0",NA,NA,0.0285718245668691,0.181013699269983,1.18283916029884,FALSE,109957976,99039682,10918294,0.9007,0.8376,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22270_sorted.bam",114759876,1957796,0.0167737752685814,0.314093404852029,21352124,0,0,0,0,0,0,0,21661472,0,0,22348294,0,2618283,1.77499905864166e-05,NA,NA,NA,NA
"R22271","R22271","PASS","PASS","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL/WARN","PASS","NA","101","49","41.0","41.0","39.0","39.0",NA,NA,0.0718701935911731,0.462010301077798,2.4773854454598,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.0760225322527481,0.463276303412494,2.46122121704813,FALSE,214770536,195962607,18807929,0.9124,0.8735,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22271_sorted.bam",270811263,14311526,0.0501942550793441,0.190439184913135,37475101,0,0,0,0,0,0,0,126023879,0,0,29457300,0,3826231,0.000906682012678231,NA,NA,NA,NA
"R22272","R22272","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL","FAIL","PASS","NA","101","51","41.0","41.0","41.0","41.0",NA,NA,0.0611853957561042,0.365089479370305,2.16083720308131,"101","52","41.0","41.0","41.0","41.0",NA,NA,0.0592059870117861,0.349879326732032,2.04147629320621,FALSE,128775828,106823842,21951986,0.8295,0.7852,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22272_sorted.bam",136776587,4300046,0.0304802142534831,0.321963402280095,27503317,0,0,0,0,0,0,0,41412939,0,0,11582049,0,4925432,1.3307485784351e-05,NA,NA,NA,NA
"R22273","R22273","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","FAIL","WARN","PASS","NA","101","50","41.0","41.0","39.0","39.0",NA,NA,0.0423456790421749,0.373823962686706,2.36135833160376,"101","51","41.0","41.0","39.0","41.0",NA,NA,0.0573162272189017,0.437998066908235,2.63898838783835,FALSE,124163790,108080368,16083422,0.8705,0.8003,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22273_sorted.bam",136603225,2620191,0.0188200453291564,0.32070342896562,27125469,0,0,0,0,0,0,0,37523200,0,0,14965203,0,4967291,1.05435964996587e-05,NA,NA,NA,NA
"R22274","R22274","PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0363985540831526,0.265321355430539,1.8086550980004,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.0367519856293363,0.254863306188616,1.71558022200984,FALSE,102141420,85005341,17136079,0.8322,0.7895,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22274_sorted.bam",99979524,2202987,0.0215593351390631,0.423094916330771,23924678,0,0,0,0,0,0,0,18240586,0,0,9560892,0,4820678,1.27483429453053e-05,NA,NA,NA,NA
"R22275","R22275","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","WARN","FAIL/WARN","PASS","NA","101","47","41.0","41.0","39.0","39.0",NA,NA,0.0167904885026841,0.12564422744771,0.932533020308454,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0256584051199804,0.159355137297288,1.06208272920808,FALSE,120062022,108492974,11569048,0.9036,0.841,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22275_sorted.bam",122524801,3413272,0.0271027809040718,0.367790782280939,26486316,0,0,0,0,0,0,0,21187533,0,0,21276182,0,3064596,1.77072568340573e-05,NA,NA,NA,NA
"R22276","R22276","PASS","PASS","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","FAIL","PASS","NA","101","46","41.0","41.0","39.0","39.0",NA,NA,0.0320614144980403,0.194920774442472,1.3682932805356,"101","47","41.0","41.0","39.0","39.0",NA,NA,0.0359071448122871,0.201609417643693,1.3853571452296,FALSE,187870688,159248011,28622677,0.8476,0.7922,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22276_sorted.bam",179805830,4684205,0.0253900163225618,0.405153122162289,41787004,0,0,0,0,0,0,0,28459939,0,0,28180172,0,4711678,1.56268681047342e-05,NA,NA,NA,NA
"R22277","R22277","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","WARN","NA","101","51","41.0","41.0","41.0","41.0",NA,NA,0.093730681744506,1.22089350005671,6.04063804697053,"101","52","41.0","41.0","41.0","41.0",NA,NA,0.0930034255572249,1.18723177161096,5.86522319793359,FALSE,182741656,149472570,33269086,0.8179,0.7706,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22277_sorted.bam",188759702,2185509,0.0114457387464931,0.401163453342461,42881145,0,0,0,0,0,0,0,42751547,0,0,12056214,0,9203047,1.64174720614387e-05,NA,NA,NA,NA
"R22279","R22279","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","WARN","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.108381459897541,1.03508907384152,5.32609676699459,"101","51","41.0","41.0","41.0","41.0",NA,NA,0.110707765350981,0.997058818679867,5.11475066199341,FALSE,139491570,113566956,25924614,0.8141,0.7722,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22279_sorted.bam",150054505,4252091,0.0275561195063884,0.200067756357377,19993678,0,0,0,0,0,0,0,54663443,0,0,22905833,0,2371580,0.000318150567394353,NA,NA,NA,NA
"R22280","R22280","PASS","PASS","PASS/FAIL","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0542262238068167,0.302308316497372,1.95541463749213,"101","48","41.0","41.0","39.0","41.0",NA,NA,0.0555219966314267,0.297281745834597,1.89366140640005,FALSE,128417572,105733658,22683914,0.8234,0.7472,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22280_sorted.bam",121170192,3177091,0.0255501441072902,0.407013849717333,29054564,0,0,0,0,0,0,0,21293831,0,0,16997617,0,4038694,1.97215143204352e-05,NA,NA,NA,NA
"R22281","R22281","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0599560448633825,0.612171051983838,3.61991945700258,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0620677709251173,0.606747786371273,3.56461396255618,FALSE,147272890,132716835,14556055,0.9012,0.8537,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22281_sorted.bam",154053388,2111310,0.013519764883098,0.330762596675725,29021955,0,0,0,0,0,0,0,26901816,0,0,28624100,0,3194683,2.72552279817125e-05,NA,NA,NA,NA
"R22282","R22282","PASS","PASS","FAIL","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","48","41.0","41.0","39.0","37.0",NA,NA,0.0438305437513652,0.286176267371613,1.83551961703999,"101","49","41.0","41.0","39.0","39.0",NA,NA,0.0495972588964216,0.303935878738954,1.89633202164442,FALSE,239408392,197855718,41552674,0.8264,0.7731,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22282_sorted.bam",256205900,4580112,0.0175627211171127,0.269920655514626,44043941,0,0,0,0,0,0,0,80965223,0,0,33340026,0,4824469,1.89810444074476e-05,NA,NA,NA,NA
"R22283","R22283","PASS","PASS","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL/WARN","WARN","NA","101","54","41.0","41.0","39.0","39.0",NA,NA,0.0461058492815996,1.48253467714777,8.61017343808548,"101","54","41.0","41.0","41.0","41.0",NA,NA,0.0477811509020767,1.47137262693813,8.55951361463004,FALSE,191129762,164571092,26558670,0.861,0.8128,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22283_sorted.bam",231555369,10643933,0.0439470011354533,0.237287066623136,38947606,0,0,0,0,0,0,0,106055518,0,0,13786151,0,5347804,0.000304100847687532,NA,NA,NA,NA
"R22284","R22284","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","FAIL","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0251211409851153,0.153813307151949,1.0845367418945,"101","50","41.0","37.0","37.0","34.5",NA,NA,0.0237262979241628,0.138679521801013,0.963194124271613,FALSE,114564860,90481195,24083665,0.7898,0.7082,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22284_sorted.bam",104444691,2193565,0.0205701507346482,0.429195959772675,26475694,0,0,0,0,0,0,0,18109501,0,0,11836465,0,5265067,9.78255754126785e-06,NA,NA,NA,NA
"R22285","R22285","PASS","PASS","PASS/FAIL","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.034242444163093,0.167987405751779,1.05614142225687,"101","49","41.0","41.0","39.0","39.0",NA,NA,0.0353208322556352,0.166593366634068,1.02274450887267,FALSE,96625696,79691507,16934189,0.8247,0.7498,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22285_sorted.bam",90517776,1359644,0.0147984564651467,0.480918902710113,24696853,0,0,0,0,0,0,0,12848498,0,0,9476468,0,4331648,8.4626166742783e-06,NA,NA,NA,NA
"R22286","R22286","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.146469433817855,0.565346913547611,3.17382120391596,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.153178976096154,0.572651880497136,3.15830995064143,FALSE,158878200,139365112,19513088,0.8772,0.8346,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22286_sorted.bam",176299124,2806136,0.0156675242256983,0.254632742114356,27777565,0,0,0,0,0,0,0,50174944,0,0,27455681,0,3680550,2.29321756604656e-05,NA,NA,NA,NA
"R22287","R22287","PASS","PASS","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0357412628793291,0.246139819429029,1.51794174518844,"101","47","41.0","41.0","41.0","41.0",NA,NA,0.039696960451318,0.25165717462314,1.50214303829514,FALSE,132871634,121632024,11239610,0.9154,0.8741,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22287_sorted.bam",134933845,2574418,0.0187219149150331,0.436025811674745,32603425,0,0,0,0,0,0,0,17358790,0,0,20217341,0,4594515,1.42623052639408e-05,NA,NA,NA,NA
"R22288","R22288","PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL/WARN","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0628918008002619,0.206530928552304,1.14813404245961,"101","48","41.0","41.0","39.0","39.0",NA,NA,0.0644044769297761,0.203253195685057,1.09071504281018,FALSE,124415264,105736153,18679111,0.8499,0.8017,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22288_sorted.bam",128729314,2628847,0.0200128182366987,0.250243364736026,19901806,0,0,0,0,0,0,0,32760670,0,0,24441784,0,2425545,2.19578062413029e-05,NA,NA,NA,NA
"R22289","R22289","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","WARN","WARN","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0771337262515247,0.962915164306676,5.17694587251661,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.079131701378524,0.954676855769982,5.11539060941273,FALSE,149751614,131616613,18135001,0.8789,0.8305,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22289_sorted.bam",152048830,2856628,0.0184411061874915,0.372548483977663,32349105,0,0,0,0,0,0,0,26415832,0,0,23714176,0,4352820,2.34009565334188e-05,NA,NA,NA,NA
"R22290","R22290","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL/WARN","PASS","PASS","FAIL","FAIL","WARN","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.228222410502358,1.30915909585228,7.19848700532657,"101","51","41.0","41.0","41.0","41.0",NA,NA,0.233843838838744,1.31523364943529,7.19177428642081,FALSE,179420592,157371613,22048979,0.8771,0.8295,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22290_sorted.bam",214655938,11165611,0.0494444000116216,0.178178277034395,28206902,0,0,0,0,0,0,0,101152755,0,0,26683409,0,2264122,0.0016664006561231,NA,NA,NA,NA
"R22291","R22291","PASS","FAIL/PASS","FAIL","PASS","FAIL/WARN","FAIL","FAIL/PASS","PASS","WARN/FAIL","WARN","PASS","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.0908608203320574,0.531896643164688,2.93862053675541,"101","52","41.0","41.0","41.0","41.0",NA,NA,0.0931206941129168,0.526721409609389,2.89174756701498,FALSE,122351966,109023930,13328036,0.8911,0.8593,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22291_sorted.bam",149107527,4783152,0.0310814925964424,0.211705294738075,21975281,0,0,0,0,0,0,0,62842406,0,0,16123934,0,2859661,2.72578994553016e-05,NA,NA,NA,NA
"R22292","R22292","PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","NA","101","46","41.0","41.0","41.0","41.0",NA,NA,0.0295081162102934,0.151469114634071,1.02674343343221,"101","47","41.0","41.0","39.0","39.0",NA,NA,0.0302159661666309,0.148340700697641,0.977111769319525,FALSE,148477794,129042168,19435626,0.8691,0.8173,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22292_sorted.bam",141474966,2034260,0.0141751165182927,0.455782509122696,35146459,0,0,0,0,0,0,0,14962495,0,0,22027998,0,4975395,1.11817807876463e-05,NA,NA,NA,NA
"R22293","R22293","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","WARN","WARN","PASS","NA","101","47","41.0","41.0","39.0","39.0",NA,NA,0.0153051614387665,0.127285301132941,0.948400769551344,"101","48","41.0","41.0","39.0","41.0",NA,NA,0.0244949396946096,0.159166043085934,1.08971413165501,FALSE,104768578,94536269,10232309,0.9023,0.8331,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22293_sorted.bam",104119867,2010187,0.0189407893828076,0.459961294861574,27014088,0,0,0,0,0,0,0,12756061,0,0,15602289,0,3358782,1.08091748275937e-05,NA,NA,NA,NA
"R22294","R22294","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","PASS","NA","101","49","41.0","41.0","39.0","41.0",NA,NA,0.106549928832031,0.681854745444364,3.58732997019559,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.10792521001888,0.686251718025275,3.59379477357804,FALSE,132409286,118506136,13903150,0.895,0.8545,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22294_sorted.bam",150274627,4360053,0.0281958290339528,0.31048961241724,28148353,0,0,0,0,0,0,0,40434385,0,0,17422208,0,4653008,2.77813767647436e-05,NA,NA,NA,NA
"R22295","R22295","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0578661785605837,0.216633303013579,1.20651091214217,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0624538098388944,0.226045886493507,1.21901210705875,FALSE,174447324,157905318,16542006,0.9052,0.867,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22295_sorted.bam",180396280,3580940,0.0194640401675816,0.469637776337118,46104124,0,0,0,0,0,0,0,24859503,0,0,19972732,0,7233180,8.91460382155835e-06,NA,NA,NA,NA
"R22296","R22296","PASS","PASS","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0600763669810971,0.293497868064894,1.8600475078494,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0632631731712479,0.298710299368607,1.86074405025612,FALSE,120308540,110002391,10306149,0.9143,0.8761,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22296_sorted.bam",126455401,2094777,0.0162954033404761,0.412346439488534,28815384,0,0,0,0,0,0,0,19133298,0,0,18029184,0,3903625,1.46449549310188e-05,NA,NA,NA,NA
"R22297","R22297","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0574957182693647,0.233166409427987,1.33564478752284,"101","47","41.0","41.0","41.0","41.0",NA,NA,0.0600192252975185,0.237839203625997,1.33895408003756,FALSE,131206292,122102689,9103603,0.9306,0.896,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22297_sorted.bam",138164169,2032932,0.0145005280815329,0.431546452399749,33075486,0,0,0,0,0,0,0,19670760,0,0,20537862,0,3359984,1.00981131463949e-05,NA,NA,NA,NA
"R22298","R22298","PASS","PASS","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","49","41.0","41.0","39.0","41.0",NA,NA,0.174970694819438,0.996248276954373,4.55614922090703,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.17754691097412,0.996405836123615,4.54173131954567,FALSE,121224300,105851686,15372614,0.8732,0.8308,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22298_sorted.bam",127669325,2314586,0.0178067114783152,0.323541393334605,24198888,0,0,0,0,0,0,0,27918201,0,0,18504046,0,4172658,2.49185003872905e-05,NA,NA,NA,NA
"R22299","R22299","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","WARN","PASS/WARN","PASS","WARN","WARN","PASS","NA","101","45","41.0","41.0","41.0","41.0",NA,NA,0.0423638173496798,0.1824209250899,1.10119440278845,"101","45","41.0","41.0","41.0","41.0",NA,NA,0.0445526694642028,0.185859749090565,1.09957588537982,FALSE,142723210,133075434,9647776,0.9324,0.8956,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22299_sorted.bam",148770715,2356202,0.0155908824633801,0.305242815883337,25643358,0,0,0,0,0,0,0,21272838,0,0,34969116,0,2124390,2.35928539468193e-05,NA,NA,NA,NA
